,name,rating,dist_km,price_level,user_ratings_total,place_id,vicinity
0,Jonathan's Publick House,4.6,1.9,1,138,ChIJS6CjDpfNt4kRv8tKMc66tfg,"1001, 820 Baltimore Road, Rockville"
1,La Canela,4.5,0.6,2,221,ChIJUdeWUXTNt4kRWj12wUp4rR8,"141 Gibbs Street D, Rockville"
2,El Mariachi,4.4,1.7,2,176,ChIJdd6pjqPNt4kRJoNDp04ThaU,"765 Rockville Pike, Rockville"
3,Five Guys,4.3,0.5,2,194,ChIJRbVA-HTNt4kRjHJRDNyG6a0,"130 Gibbs Street, Rockville"
4,Sushi Damo,4.2,0.5,2,163,ChIJa9hXB3XNt4kRLsgYMV9k4zw,"36-G Maryland Avenue, Rockville"
5,BonChon,4.2,0.6,2,234,ChIJ9-J6BHXNt4kRKuvOyOUIonc,"107 Gibbs Street Unit A, Rockville"
6,Ben & Jerry's,4.2,0.7,2,56,ChIJeetCRnXNt4kRslhpbZXNeKk,"199-F, East Montgomery Avenue, Rockville"
7,Jumbo Jumbo Cafe,4.2,1.7,1,130,ChIJCczgiqPNt4kRCw_KVOWwy2s,"765 Rockville Pike, Rockville"
8,Bombay Bistro,4.2,1,2,340,ChIJD_GfUXPNt4kRLvAd46mtxzY,"98 West Montgomery Avenue, Rockville"
9,Sichuan Jin River,4.2,0.2,2,204,ChIJ-7U313XNt4kRpB65UOJubD8,"410 Hungerford Drive, Rockville"
10,East Pearl Restaurant,4.1,2,2,276,ChIJLda8sqTNt4kRkzKIATmvXiw,"838 Rockville Pike B, Rockville"
11,OM Fine Indian Cuisine,4.1,1.8,2,153,ChIJf9K6hKPNt4kRYIHJoUSdTjo,"785 Rockville Pike k, Rockville"
12,Potbelly Sandwich Shop,4.1,0.8,1,84,ChIJl3HmL3XNt4kR01onlTQRDmc,"199 East Montgomery Avenue Ste K, Rockville"
13,IHOP,4.1,1.7,1,770,ChIJOw_DkaPNt4kRw3hTnHKeKIQ,"775 Rockville Pike, Rockville"
14,Gordon Biersch Brewery Restaurant,4,0.6,2,278,ChIJ55pGBXXNt4kRlSEV9mEWcqM,"200 East Middle Lane Unit A, Rockville"
15,Subway,3.9,1.8,1,42,ChIJAU4pm33Nt4kR0zvGCeh3Rww,"15106 Frederick Rd #19 College Plaza Shopping Center, Rockville"
16,Spice Xing,3.9,0.6,2,156,ChIJn1lZ5XTNt4kRdIsLw5g2hZk,"100 Gibbs Street B, Rockville"
17,Bar Louie - Rockville Town Square,3.9,0.5,2,398,ChIJ1TI5WHTNt4kR8Vvw3PlyU4Y,"150 Gibbs Street, Rockville"
18,Thai Pavilion Restaurant,3.8,0.5,2,138,ChIJpYLbq3XNt4kRamZosh96fj8,"29 Maryland Avenue #308, Rockville"
19,Buffalo Wild Wings,3.5,0.5,2,448,ChIJp3AQAXXNt4kRJAf5BLOew-0,"33 Maryland Avenue C, Rockville"
